#! daedalus 0.1.0
#! core_hash daedalus 0.1.0  core 60a4dce01a4e6fb8  (26 arquivos)
#! implementacao c
#! conteudo varredura_fase2
#! grade 7x7
#! n_traj 63000
#! blocos 16
#! estimador wardle_kronberg
# valor no n cheio; sd e o DESVIO DA MEDIA; vies e o residual estimado
# cov e corr sao entre C_inter e ef NO MESMO conjunto de execucoes
p,gamma,lambda2,Q,N,n_traj,blocos,c_inter,sd_c_inter,vies_c_inter,ef,sd_ef,vies_ef,cov,corr,lambda2_ok,segundos
0.33333,0.4,0.24203880363855362,0.50959873199462891,520,63000,16,1.7924687926758882,0.029542869055752811,-0.030422590818472168,0.00035363900274130967,1.9889361410751338e-05,0,-2.0294298902598081e-07,-0.34538267085544339,1,3411.2
0.33333,1.08577,0.24203880363855362,0.50959873199462891,520,63000,16,0.48247066630454982,0.0073188772647029866,-0.0061413612158614699,3.6052478716405851e-05,7.1971985542742811e-06,2.2587545260114674e-21,-2.2342043623939864e-09,-0.042414558153999041,1,3490.2
0.41667,0.02,0.3356785929006566,0.43153619766235352,520,63000,16,169.46038612136658,0.51853229985651861,-0.033224736450459126,0.001718940650557851,9.847749253926447e-06,7.2280144832366958e-20,-1.7547999965378573e-06,-0.34364879766184897,1,3262.6
0.33333,2.94723,0.24203880363855362,0.50959873199462891,520,63000,16,0.093330457457307975,0.0010417164669259823,-0.0020666146413039765,9.3383437818377128e-08,4.4703870407055857e-08,0,-7.8624465077611363e-12,-0.16883522034598711,1,3530.3
0.41667,0.05429,0.3356785929006566,0.43153619766235352,520,63000,16,49.010112595515956,0.32700080593711567,-0.11871765538858625,0.0017408077655788935,1.6363559199755128e-05,0,-2.1209574157383297e-06,-0.39637417752171727,1,3315.2
0.41667,0.14736,0.3356785929006566,0.43153619766235352,520,63000,16,3.2694729753065732,0.049098592782350431,-0.068803945160257271,0.0018305043981496141,3.2404901459900308e-05,7.2280144832366958e-20,-1.8497834137782783e-07,-0.11626289446411674,1,3478.3
0.33333,8,0.24203880363855362,0.50959873199462891,520,63000,16,0.019086909394927524,0.00030187282456037317,-0.00018338478582610612,5.1022506683725619e-12,3.5088279742835583e-12,5.3852904463087736e-28,-1.5665829575771059e-16,-0.14789970321347437,1,3767.8
0.41667,0.4,0.3356785929006566,0.43153619766235352,520,63000,16,1.3409323511396321,0.024372204754741285,0.026271825201139354,0.0018581950246061095,5.2675344132817125e-05,0,3.012339733955689e-07,0.23463983832696853,1,3384.9
0.41667,1.08577,0.3356785929006566,0.43153619766235352,520,63000,16,0.47283362780585719,0.0042310319834853597,-0.0022019623163870108,0.0014007655026685704,6.48262276576005e-05,7.2280144832366958e-20,1.7991614658464708e-08,0.065595354357777441,1,3692.1
0.5,0.02,0,0.35737705230712891,520,63000,16,170.79475892355694,0.52610313733124681,-0.031338359024080852,0.0013292566910047495,1.1361298060881595e-05,7.2280144832366958e-20,1.4392776872060083e-06,0.24079404783058886,1,2831.0
0.5,0.05429,0,0.35737705230712891,520,63000,16,49.05273606423038,0.32804847748690125,-0.11886992931250499,0.0011979897758305385,1.0868255463813723e-05,0,1.2481630757846106e-06,0.35008497021124585,1,2915.4
0.5,0.4,0,0.35737705230712891,520,63000,16,1.1448305912491834,0.023299652472288147,0.063697216962380912,0.00060499181713672843,2.6445612155464403e-05,-3.6140072416183479e-20,6.5070803671326181e-08,0.10560466492032458,1,2969.4
0.5,0.14736,0,0.35737705230712891,520,63000,16,2.8333823166732439,0.059046704716160872,-0.033244067282720557,0.00095040646937942833,1.8795869985510955e-05,0,-4.5905474826052816e-07,-0.41362462474024569,1,3034.5
0.5,1.08577,0,0.35737705230712891,520,63000,16,0.54678840144992014,0.0084980695530308299,-0.0027588750962254847,0.00011326090045745491,1.4901505189494414e-05,4.5175090520229349e-21,4.891663155903332e-08,0.38628346983265288,1,2890.8
0.41667,8,0.3356785929006566,0.43153619766235352,520,63000,16,0.042076968422972372,0.00022511458751776011,-0.00028835597674956487,1.9331000183034138e-05,9.5748267847431181e-06,-1.1293772630057337e-21,-4.5997098852518461e-10,-0.21340071792686888,1,3541.4
0.41667,2.94723,0.3356785929006566,0.43153619766235352,520,63000,16,0.1271159642114422,0.0011815383129573571,-0.0028749132665986019,0.00035734243040712218,4.8239473806455858e-05,-1.807003620809174e-20,-1.6150900435290418e-08,-0.28336510577676999,1,3592.3
0.5,2.94723,0,0.35737705230712891,520,63000,16,0.18412411382199606,0.0018811812749073814,-0.003850963865364506,1.5850655454751529e-05,7.2209521223257178e-06,0,4.1758150538822269e-09,0.30740869194031678,1,3105.7
0.5,8,0,0.35737705230712891,520,63000,16,0.057063412482234135,0.00029716669902241267,-0.00046719386726966117,7.9509282195047887e-11,3.5391544726462312e-11,-4.3082323570470189e-27,2.2687715650568628e-15,0.21572034777301141,1,2932.7
